Selector,NewPrefix,GroupName,SeqRange,Country,Region,Language Family,Language Subgroup,Latitude,Longitude,Reference,DOIorPMID,Notes
Babinga,CgBambengaCB,Bambenga,1-16569,Congo-Brazzaville,Central Africa,Niger-Congo,Bantu,-3.925,14.975,Batini et al. 2011,10.1093/molbev/msq294,Lat/Long approximate based on map in paper
BakaC,CmBakaCB,BakaC,1-16569,Cameroon,Central Africa,Niger-Congo,South-Volta,3.835,14.942,Batini et al. 2011,10.1093/molbev/msq294,Lat/Long approximate based on map in paper
BakaG,GaBakaCB,BakaG,1-16569,Gabon,Central Africa,Niger-Congo,South-Volta,1.75,12.744,Batini et al. 2011,10.1093/molbev/msq294,Lat/Long approximate based on map in paper
Bakola,CmBakolaCB,Bakola,1-16569,Cameroon,Central Africa,Niger-Congo,Bantu,3.572,10.174,Batini et al. 2011,10.1093/molbev/msq294,Lat/Long approximate based on map in paper
Biaka,CfBiakaCB,Biaka,1-16569,CAR,Central Africa,Niger-Congo,Bantu,5.499,16.469,Batini et al. 2011,10.1093/molbev/msq294,Lat/Long approximate based on map in paper
Mbenzele,CfMbenzeleCB,Mbenzele,1-16569,CAR,Central Africa,Niger-Congo,Bantu,4.131,15.985,Batini et al. 2011,10.1093/molbev/msq294,Lat/Long approximate based on map in paper
MbutiCEPH,CdMbutiCEPHCB,MbutiCEPH,1-16569,DRC,Central Africa,Niger-Congo,Bantu,2.191,30.115,Batini et al. 2011,10.1093/molbev/msq294,Lat/Long approximate based on map in paper
Mbuti,CdMbutiCB,Mbuti,1-16569,DRC,Central Africa,Niger-Congo,Bantu,2.092,29.016,Batini et al. 2011,10.1093/molbev/msq294,Lat/Long approximate based on map in paper
Fang,GaFangCB,Fang,1-16569,Gabon,Central Africa,Niger-Congo,Bantu,1.741,11.565,Batini et al. 2011,10.1093/molbev/msq294,Lat/Long approximate based on map in paper
Nzebi,GaNzebiCB,Nzebi,1-16569,Gabon,Central Africa,Niger-Congo,Bantu,-1.223,12.441,Batini et al. 2011,10.1093/molbev/msq294,Lat/Long approximate based on map in paper
