Selector,NewPrefix,GroupName,SeqRange,Country,Region,Language Family,Language Subgroup,Latitude,Longitude,Reference,DOIorPMID,Notes
Acholi,UgAcholiVG,Acholi,16024-16569;1-576,Uganda,Eastern Africa,Nilo-Saharan,Eastern Sudanic,2.765,32.325,Gomes et al. 2015,10.1007/s00439-015-1583-0,Lat/Long is approximate based on ethnic group distribution in Uganda census data
Alur,UgAlurVG,Alur,16049-16430,Uganda,Eastern Africa,Nilo-Saharan,Eastern Sudanic,2.518,31.111,Gomes et al. 2015,10.1007/s00439-015-1583-0,Lat/Long is approximate based on ethnic group distribution in Uganda census data
Bafumbira,UgBafumbiraVG,Bafumbira,16027-16494,Uganda,Eastern Africa,Niger-Congo,Bantu,-1.265,29.704,Gomes et al. 2015,10.1007/s00439-015-1583-0,Lat/Long is approximate based on ethnic group distribution in Uganda census data
Baganda,UgBagandaVG,Baganda,16046-16420,Uganda,Eastern Africa,Niger-Congo,Bantu,0.349,32.511,Gomes et al. 2015,10.1007/s00439-015-1583-0,Lat/Long is approximate based on ethnic group distribution in Uganda census data
Bagungu,UgBagunguVG,Bagungu,16079-16440,Uganda,Eastern Africa,Niger-Congo,Bantu,1.683,31.677,Gomes et al. 2015,10.1007/s00439-015-1583-0,Lat/Long is approximate based on ethnic group distribution in Uganda census data
Bagwere,UgBagwereVG,Bagwere,16012-16500,Uganda,Eastern Africa,Niger-Congo,Bantu,1.173,33.747,Gomes et al. 2015,10.1007/s00439-015-1583-0,Lat/Long is approximate based on ethnic group distribution in Uganda census data
Bakiga,UgBakigaVG,Bakiga,16026-16430,Uganda,Eastern Africa,Niger-Congo,Bantu,-1.238,30.007,Gomes et al. 2015,10.1007/s00439-015-1583-0,Lat/Long is approximate based on ethnic group distribution in Uganda census data
Bakonzo,UgBakonzoVG,Bakonzo,16012-16500,Uganda,Eastern Africa,Niger-Congo,Bantu,0.277,30.1,Gomes et al. 2015,10.1007/s00439-015-1583-0,Lat/Long is approximate based on ethnic group distribution in Uganda census data
Banyankole,UgBanyankoleVG,Banyankole,16034-16460,Uganda,Eastern Africa,Niger-Congo,Bantu,-0.611,30.572,Gomes et al. 2015,10.1007/s00439-015-1583-0,Lat/Long is approximate based on ethnic group distribution in Uganda census data
Banyarwanda,UgBanyarwandaVG,Banyarwanda,16035-16493,Uganda,Eastern Africa,Niger-Congo,Bantu,0.941,31.772,Gomes et al. 2015,10.1007/s00439-015-1583-0,Lat/Long is approximate based on ethnic group distribution in Uganda census data
Banyoro,UgBanyoroVG,Banyoro,16080-16443,Uganda,Eastern Africa,Niger-Congo,Bantu,1.411,31.351,Gomes et al. 2015,10.1007/s00439-015-1583-0,Lat/Long is approximate based on ethnic group distribution in Uganda census data
Basamia,UgBasamiaVG,Basamia,16011-16500,Uganda,Eastern Africa,Niger-Congo,Bantu,0.478,34.081,Gomes et al. 2015,10.1007/s00439-015-1583-0,Lat/Long is approximate based on ethnic group distribution in Uganda census data
Basoga,UgBasogaVG,Basoga,16034-16459,Uganda,Eastern Africa,Niger-Congo,Bantu,0.621,33.462,Gomes et al. 2015,10.1007/s00439-015-1583-0,Lat/Long is approximate based on ethnic group distribution in Uganda census data
Batoro,UgBatoroVG,Batoro,16035-16469,Uganda,Eastern Africa,Niger-Congo,Bantu,0.643,30.278,Gomes et al. 2015,10.1007/s00439-015-1583-0,Lat/Long is approximate based on ethnic group distribution in Uganda census data
Batwa,UgBatwaVG,Batwa,16026-16419,Uganda,Eastern Africa,Niger-Congo,Bantu,-0.971,29.614,Gomes et al. 2015,10.1007/s00439-015-1583-0,Lat/Long is approximate
Dodoth,UgDodothVG,Dodoth,16024-16569;1-576,Uganda,Eastern Africa,Nilo-Saharan,Eastern Sudanic,3.753,34.015,Gomes et al. 2015,10.1007/s00439-015-1583-0,Lat/Long is approximate
Ethur,UgEthurVG,Ethur,16024-16569;1-576,Uganda,Eastern Africa,Nilo-Saharan,Eastern Sudanic,3.543,33.665,Gomes et al. 2015,10.1007/s00439-015-1583-0,Lat/Long is approximate
Iteso,UgItesoVG,Iteso,16024-16500,Uganda,Eastern Africa,Nilo-Saharan,Eastern Sudanic,1.909,33.917,Gomes et al. 2015,10.1007/s00439-015-1583-0,Lat/Long is approximate based on ethnic group distribution in Uganda census data
Jie,UgJieVG,Jie,16024-16569;1-576,Uganda,Eastern Africa,Nilo-Saharan,Eastern Sudanic,3.721,33.87,Gomes et al. 2015,10.1007/s00439-015-1583-0,Lat/Long is approximate
Karimojong_Bokora,UgKmjBokoraVG,Karimojong_Bokora,16024-16569;1-576,Uganda,Eastern Africa,Nilo-Saharan,Eastern Sudanic,2.43,34.425,Gomes et al. 2015,10.1007/s00439-015-1583-0,Lat/Long is approximate
Karimojong_Matheniko,UgKmjMathenikoVG,Karimojong_Matheniko,16024-16569;1-576,Uganda,Eastern Africa,Nilo-Saharan,Eastern Sudanic,2.547,34.647,Gomes et al. 2015,10.1007/s00439-015-1583-0,Lat/Long is approximate
Karimojong_Pian,UgKmjPianVG,Karimojong_Pian,16024-16569;1-576,Uganda,Eastern Africa,Nilo-Saharan,Eastern Sudanic,2.016,34.582,Gomes et al. 2015,10.1007/s00439-015-1583-0,Lat/Long is approximate
Labwor,UgLabworVG,Labwor,16024-16569;1-576,Uganda,Eastern Africa,Nilo-Saharan,Eastern Sudanic,2.687,33.67,Gomes et al. 2015,10.1007/s00439-015-1583-0,Lat/Long is approximate
Langi,UgLangiVG,Langi,16033-16500,Uganda,Eastern Africa,Nilo-Saharan,Eastern Sudanic,2.28,32.864,Gomes et al. 2015,10.1007/s00439-015-1583-0,Lat/Long is approximate based on ethnic group distribution in Uganda census data
Lendu,UgLenduVG,Lendu,16079-16415,Uganda,Eastern Africa,Nilo-Saharan,Central Sudanic,2.541,30.995,Gomes et al. 2015,10.1007/s00439-015-1583-0,Lat/Long is approximate based on ethnic group distribution in Uganda census data
Lugbara,UgLugbaraVG,Lugbara,16024-16500,Uganda,Eastern Africa,Nilo-Saharan,Central Sudanic,3.498,31.338,Gomes et al. 2015,10.1007/s00439-015-1583-0,Lat/Long is approximate based on ethnic group distribution in Uganda census data
Luo,UgLuoVG,Luo,16035-16425,Uganda,Eastern Africa,Nilo-Saharan,Eastern Sudanic,3.342,32.853,Gomes et al. 2015,10.1007/s00439-015-1583-0,"Lat/Long here is a bit of a wild guess - there are lots of Luo people in Uganda, but typically one doesn't identify as Luo but as Acholi, Langi, etc."
Madi,UgMadiVG,Madi,16000-16500,Uganda,Eastern Africa,Nilo-Saharan,Central Sudanic,3.355,31.754,Gomes et al. 2015,10.1007/s00439-015-1583-0,Lat/Long is approximate based on ethnic group distribution in Uganda census data
So,UgSoVG,So,16024-16569;1-576,Uganda,Eastern Africa,Nilo-Saharan,Kuliak,2.459,34.733,Gomes et al. 2015,10.1007/s00439-015-1583-0,Lat/Long is approximate
