Selector,NewPrefix,GroupName,SeqRange,Country,Region,Language Family,Language Subgroup,Latitude,Longitude,Reference,DOIorPMID,Notes
Wider_Luyana,ZmLuyanaCB,Wider_Luyana,1-16569,Zambia,Eastern Africa,Niger-Congo,Bantu,-15.189,24.426,Barbieri et al. 2014,10.1371/journal.pone.0099117,Lat/Long approximate based on data in paper and Ethnologue
Mbunda,ZmMbundaCB,Mbunda,1-16569,Zambia,Eastern Africa,Niger-Congo,Bantu,-13.678,22.613,Barbieri et al. 2014,10.1371/journal.pone.0099117,Lat/Long approximate based on data in paper and Ethnologue
Ovimbundu,AoOvimbunduCB,Ovimbundu,1-16569,Angola,Southern Africa,Niger-Congo,Bantu,-12.431,14.681,Barbieri et al. 2014,10.1371/journal.pone.0099117,Lat/Long approximate based on data in paper and Ethnologue
Nyaneka,AoNyanekaCB,Nyaneka,1-16569,Angola,Southern Africa,Niger-Congo,Bantu,-14.95,13.582,Barbieri et al. 2014,10.1371/journal.pone.0099117,Lat/Long approximate based on data in paper and Ethnologue
Kuvale,AoKuvaleCB,Kuvale,1-16569,Angola,Southern Africa,Niger-Congo,Bantu,-16.03,13.121,Barbieri et al. 2014,10.1371/journal.pone.0099117,Lat/Long approximate based on data in paper and Ethnologue
Others,XxAfricanCB,Others,1-16569,Mixed,Southern Africa,Niger-Congo,Bantu,-15.39,28.084,Barbieri et al. 2014,10.1371/journal.pone.0099117,Lat/Long approximate based on data in paper and Ethnologue
ChokweLuchaziLuvale,ZmChokweLuchaziCB,ChokweLuchaziLuvale,1-16569,Zambia,Eastern Africa,Niger-Congo,Bantu,-13.122,24.008,Barbieri et al. 2014,10.1371/journal.pone.0099117,Lat/Long approximate based on data in paper and Ethnologue
Nkoya,ZmNkoyaCB,Nkoya,1-16569,Zambia,Eastern Africa,Niger-Congo,Bantu,-14.147,24.733,Barbieri et al. 2014,10.1371/journal.pone.0099117,Lat/Long approximate based on data in paper and Ethnologue
Eastern_Tonga,ZmEastTongaCB,Eastern_Tonga,1-16569,Zambia,Eastern Africa,Niger-Congo,Bantu,-16.621,27.557,Barbieri et al. 2014,10.1371/journal.pone.0099117,Lat/Long approximate based on data in paper and Ethnologue
Northeast_Zambia,ZmNEZambiaCB,Northeast_Zambia,1-16569,Zambia,Eastern Africa,Niger-Congo,Bantu,-11.679,31.007,Barbieri et al. 2014,10.1371/journal.pone.0099117,Lat/Long approximate based on data in paper and Ethnologue
Ganguela,AoNgangelaCB,Ngangela,1-16569,Angola,Southern Africa,Niger-Congo,Bantu,-14.036,20.284,Barbieri et al. 2014,10.1371/journal.pone.0099117,Lat/Long approximate based on data in paper and Ethnologue
Tswana,BwTswanaCB,Tswana,1-16569,Botswana,Southern Africa,Niger-Congo,Bantu,-24.627,25.722,Barbieri et al. 2014,10.1371/journal.pone.0099117,Lat/Long approximate based on data in paper and Ethnologue
Subiya,ZmSubiyaCB,Subiya,1-16569,Zambia,Southern Africa,Niger-Congo,Bantu,-17.448,24.573,Barbieri et al. 2014,10.1371/journal.pone.0099117,Lat/Long approximate based on data in paper and Ethnologue
Kwamashi,ZmKwamashiCB,Kwamashi,1-16569,Zambia,Southern Africa,Niger-Congo,Bantu,-16.228,22.278,Barbieri et al. 2014,10.1371/journal.pone.0099117,Lat/Long approximate based on data in paper and Ethnologue
Wider_Shona,BwShonaCB,Wider_Shona,1-16569,Botswana,Southern Africa,Niger-Congo,Bantu,-21.709,27.887,Barbieri et al. 2014,10.1371/journal.pone.0099117,Lat/Long approximate based on data in paper and Ethnologue
Mbukushu,ZmMbukushuCB,Mbukushu,1-16569,Zambia,Eastern Africa,Niger-Congo,Bantu,-16.855,22.948,Barbieri et al. 2014,10.1371/journal.pone.0099117,Lat/Long approximate based on data in paper and Ethnologue
Shanjo,ZmShanjoCB,Shanjo,1-16569,Zambia,Eastern Africa,Niger-Congo,Bantu,-16.987,23.908,Barbieri et al. 2014,10.1371/journal.pone.0099117,Lat/Long approximate based on data in paper and Ethnologue
Lozi,ZmLoziCB,Lozi,1-16569,Zambia,Eastern Africa,Niger-Congo,Bantu,-14.892,23.36,Barbieri et al. 2014,10.1371/journal.pone.0099117,Lat/Long approximate based on data in paper and Ethnologue
Damara,NaDamaraCB,Damara,1-16569,Namibia,Southern Africa,Khoesan,Khoe,-20.041,16.724,Barbieri et al. 2014,10.1371/journal.pone.0099117,Lat/Long approximate based on data in paper and Ethnologue
Fwe,ZmFweCB,Fwe,1-16569,Zambia,Eastern Africa,Niger-Congo,Bantu,-16.389,23.224,Barbieri et al. 2014,10.1371/journal.pone.0099117,Lat/Long approximate based on data in paper and Ethnologue
Herero,NaHereroCB,Herero,1-16569,Namibia,Southern Africa,Niger-Congo,Bantu,-21.315,19.339,Barbieri et al. 2014,10.1371/journal.pone.0099117,Lat/Long approximate based on data in paper and Ethnologue
Totela,ZmTotelaCB,Totela,1-16569,Zambia,Eastern Africa,Niger-Congo,Bantu,-16.519,24.894,Barbieri et al. 2014,10.1371/journal.pone.0099117,Lat/Long approximate based on data in paper and Ethnologue
Himba,NaHimbaCB,Himba,1-16569,Namibia,Southern Africa,Niger-Congo,Bantu,-18.756,14.22,Barbieri et al. 2014,10.1371/journal.pone.0099117,Lat/Long approximate based on data in paper and Ethnologue
Kgalagadi,BwKgalagadiCB,Kgalagadi,1-16569,Botswana,Southern Africa,Niger-Congo,Bantu,-25.185,22.723,Barbieri et al. 2014,10.1371/journal.pone.0099117,Lat/Long approximate based on data in paper and Ethnologue
