Selector,NewPrefix,GroupName,SeqRange,Country,Region,Language Family,Language Subgroup,Latitude,Longitude,Reference,DOIorPMID,Notes
Akele,GaAkeleQM,Akele,16024-16383,Gabon,Central Africa,Niger-Congo,Bantu,-1.07537,10.63383,Quintana-Murci et al. 2008,10.1073/pnas.0711467105,Lat/Long approximate based on map in paper and Ethnologue
Ateke,GaAtekeQM,Ateke,16024-16383,Gabon,Central Africa,Niger-Congo,Bantu,-1.18521,14.00114,Quintana-Murci et al. 2008,10.1073/pnas.0711467105,Lat/Long approximate based on map in paper and Ethnologue
Babongo,GaBabongoQM,Babongo,16024-16383,Gabon,Central Africa,Niger-Congo,Bantu,-1.85377,12.94233,Quintana-Murci et al. 2008,10.1073/pnas.0711467105,Lat/Long approximate based on map in paper and Ethnologue
Baka-CC,CmBaka1QM,Baka-CC,16024-16383,Cameroon,Central Africa,Niger-Congo,Bantu,3.1537,13.97031,Quintana-Murci et al. 2008,10.1073/pnas.0711467105,Lat/Long approximate based on map in paper and Ethnologue
Baka-CW,CmBaka2QM,Baka-CW,16024-16383,Cameroon,Central Africa,Niger-Congo,Bantu,2.8081,12.99253,Quintana-Murci et al. 2008,10.1073/pnas.0711467105,Lat/Long approximate based on map in paper and Ethnologue
Baka-GB,GaBakaQM,Baka-GB,16024-16383,Gabon,Central Africa,Niger-Congo,Bantu,2.15404,12.69377,Quintana-Murci et al. 2008,10.1073/pnas.0711467105,Lat/Long approximate based on map in paper and Ethnologue
Bakola,CmBakolaQM,Bakola,16024-16383,Cameroon,Central Africa,Niger-Congo,Bantu,3.37261,10.18028,Quintana-Murci et al. 2008,10.1073/pnas.0711467105,Lat/Long approximate based on map in paper and Ethnologue
Bakoya,GaBakoyaQM,Bakoya,16024-16383,Gabon,Central Africa,Niger-Congo,Bantu,0.99681,13.50264,Quintana-Murci et al. 2008,10.1073/pnas.0711467105,Lat/Long approximate based on map in paper and Ethnologue
Benga,GaBengaQM,Benga,16024-16383,Gabon,Central Africa,Niger-Congo,Bantu,0.56839,9.39375,Quintana-Murci et al. 2008,10.1073/pnas.0711467105,Lat/Long approximate based on map in paper and Ethnologue
Biaka,CfBiakaQM,Biaka,16024-16383,Central African Republic,Central Africa,Niger-Congo,Bantu,4.30835,17.70802,Quintana-Murci et al. 2008,10.1073/pnas.0711467105,Lat/Long approximate based on map in paper and Ethnologue
Duma,GaDumaQM,Duma,16024-16383,Gabon,Central Africa,Niger-Congo,Bantu,-0.76642,12.65257,Quintana-Murci et al. 2008,10.1073/pnas.0711467105,Lat/Long approximate based on map in paper and Ethnologue
Eshira,GaEshiraQM,Eshira,16024-16383,Gabon,Central Africa,Niger-Congo,Bantu,-2.07199,11.00737,Quintana-Murci et al. 2008,10.1073/pnas.0711467105,Lat/Long approximate based on map in paper and Ethnologue
Eviya,GaEviyaQM,Eviya,16024-16383,Gabon,Central Africa,Niger-Congo,Bantu,-1.13304,10.53495,Quintana-Murci et al. 2008,10.1073/pnas.0711467105,Lat/Long approximate based on map in paper and Ethnologue
Ewondo,CmEwondoQM,Ewondo,16024-16383,Cameroon,Central Africa,Niger-Congo,Bantu,3.49049,11.55357,Quintana-Murci et al. 2008,10.1073/pnas.0711467105,Lat/Long approximate based on map in paper and Ethnologue
Fang-CM,CmFangQM,Fang-CM,16024-16383,Cameroon,Central Africa,Niger-Congo,Bantu,2.54151,11.74034,Quintana-Murci et al. 2008,10.1073/pnas.0711467105,Lat/Long approximate based on map in paper and Ethnologue
Fang-GB,GaFangQM,Fang-GB,16024-16383,Gabon,Central Africa,Niger-Congo,Bantu,-0.05508,10.72172,Quintana-Murci et al. 2008,10.1073/pnas.0711467105,Lat/Long approximate based on map in paper and Ethnologue
Galoa,GaGaloaQM,Galoa,16024-16383,Gabon,Central Africa,Niger-Congo,Bantu,-1.31681,9.67717,Quintana-Murci et al. 2008,10.1073/pnas.0711467105,Lat/Long approximate based on map in paper and Ethnologue
Kota,GaKotaQM,Kota,16024-16383,Gabon,Central Africa,Niger-Congo,Bantu,-0.12099,12.32709,Quintana-Murci et al. 2008,10.1073/pnas.0711467105,Lat/Long approximate based on map in paper and Ethnologue
Makina,GaMakinaQM,Makina,16024-16383,Gabon,Central Africa,Niger-Congo,Bantu,0.71129,11.79535,Quintana-Murci et al. 2008,10.1073/pnas.0711467105,Lat/Long approximate based on map in paper and Ethnologue
