Selector,NewPrefix,GroupName,SeqRange,Country,Region,Language Family,Language Subgroup,Latitude,Longitude,Reference,DOIorPMID,Notes
DUM,ZaDumaCS,Duma San,15997-16569;57-607,South Africa,Southern Africa,Khoesan,Tuu,-29.793,29.494,Schlebusch et al. 2013,10.1016/j.ajhg.2009.10.023,
GUG,BwGuiGanaKgalagariCS,"/Gui, //Gana, and Kgalagari",15997-16569;57-607,Botswana,Southern Africa,Khoesan,Khoe,-23.435,24.049,Schlebusch et al. 2013,10.1016/j.ajhg.2009.10.023,
JOH,NaJuhoansiCS,Ju/'hoansi,15997-16569;57-607,Namibia,Southern Africa,Khoesan,!Kung,-19.593,20.501,Schlebusch et al. 2013,10.1016/j.ajhg.2009.10.023,
KAR,ZaKarretjieCS,Karretjie,15997-16569;57-607,South Africa,Southern Africa,Khoesan,Tuu,-30.721,25.098,Schlebusch et al. 2013,10.1016/j.ajhg.2009.10.023,
KHO,ZaKhomaniCS,‡Khomani,15997-16569;57-607,South Africa,Southern Africa,Khoesan,Tuu,-26.981,20.781,Schlebusch et al. 2013,10.1016/j.ajhg.2009.10.023,
KWE,NaKhweCS,Khwe,15997-16569;57-607,Namibia,Southern Africa,Khoesan,Khoe,-17.955,22.585,Schlebusch et al. 2013,10.1016/j.ajhg.2009.10.023,
NAM,NaNamaCS,Nama,15997-16569;57-607,Namibia,Southern Africa,Khoesan,Khoe,-22.559,17.078,Schlebusch et al. 2013,10.1016/j.ajhg.2009.10.023,
NAR,BwNaroCS,Naro,15997-16569;57-607,Botswana,Southern Africa,Khoesan,Khoe,-21.696,21.646,Schlebusch et al. 2013,10.1016/j.ajhg.2009.10.023,
XEG,ZaXegwiCS,//Xegwi,15997-16569;57-607,South Africa,Southern Africa,Khoesan,Tuu,-26.28,30.212,Schlebusch et al. 2013,10.1016/j.ajhg.2009.10.023,
XUN,AoXunCS,!Xun,15997-16569;57-607,Angola,Central Africa,Khoesan,!Kung,-14.652,17.682,Schlebusch et al. 2013,10.1016/j.ajhg.2009.10.023,
CAC,ZaCapeColouredCS,Cape Coloured,15997-16569;57-607,South Africa,Southern Africa,Mixed,Mixed,-33.635,18.993,Schlebusch et al. 2013,10.1016/j.ajhg.2009.10.023,
CNC,ZaNorthCapeColoured1CS,Northern Cape Coloured,15997-16569;57-607,South Africa,Southern Africa,Mixed,Mixed,-26.981,20.781,Schlebusch et al. 2013,10.1016/j.ajhg.2009.10.023,
COL,ZaKarooColouredCS,Karoo Coloured,15997-16569;57-607,South Africa,Southern Africa,Mixed,Mixed,-30.721,25.098,Schlebusch et al. 2013,10.1016/j.ajhg.2009.10.023,
GNC,ZaNorthCapeColoured2CS,Northern Cape Coloured,15997-16569;57-607,South Africa,Southern Africa,Mixed,Mixed,-26.981,20.781,Schlebusch et al. 2013,10.1016/j.ajhg.2009.10.023,
NNC,ZaNorthCapeColoured3CS,Northern Cape Coloured,15997-16569;57-607,South Africa,Southern Africa,Mixed,Mixed,-26.981,20.781,Schlebusch et al. 2013,10.1016/j.ajhg.2009.10.023,
DRC,CdManyangaCS,Manyanga,15997-16569;57-607,Democratic Republic of Congo,Central Africa,Niger-Congo,Bantu,-4.914,14.165,Schlebusch et al. 2013,10.1016/j.ajhg.2009.10.023,
HER,NaHereroCS,Herero,15997-16569;57-607,Namibia,Southern Africa,Niger-Congo,Bantu,-22.559,17.078,Schlebusch et al. 2013,10.1016/j.ajhg.2009.10.023,
SOT_S,ZaSothoCS,Sotho,15997-16569;57-607,South Africa,Southern Africa,Niger-Congo,Bantu,-26.521,28.056,Schlebusch et al. 2013,10.1016/j.ajhg.2009.10.023,Lat/Long approximate center of Sotho speaker area from Ethnologue
SOT_T,ZaTswanaCS,Tswana,15997-16569;57-607,South Africa,Southern Africa,Niger-Congo,Bantu,-26.353,26.056,Schlebusch et al. 2013,10.1016/j.ajhg.2009.10.023,Lat/Long approximate center of Tswana speaker area from Ethnologue
SWZ,ZaSwaziCS,Swazi,15997-16569;57-607,South Africa,Southern Africa,Niger-Congo,Bantu,-26.28,30.212,Schlebusch et al. 2013,10.1016/j.ajhg.2009.10.023,
ZUX_K,ZaZulu2CS,Zulu,15997-16569;57-607,South Africa,Southern Africa,Niger-Congo,Bantu,-28.764,30.772,Schlebusch et al. 2013,10.1016/j.ajhg.2009.10.023,Lat/Long approximate center of KwaZulu-Natal; guessing that the K is KwaZulu
ZUX_X,ZaXhosaCS,Xhosa,15997-16569;57-607,South Africa,Southern Africa,Niger-Congo,Bantu,-32.114,27.103,Schlebusch et al. 2013,10.1016/j.ajhg.2009.10.023,Lat/Long approximate center of Xhosa speaker area from Ethnologue
ZUX_Z,ZaZulu1CS,Zulu,15997-16569;57-607,South Africa,Southern Africa,Niger-Congo,Bantu,-28.061,30.08,Schlebusch et al. 2013,10.1016/j.ajhg.2009.10.023,Lat/Long approximate center of Zulu speaker area from Ethnologue
AFR,ZaAfrikanerCS,Afrikaner,15997-16569;57-607,South Africa,Southern Africa,Non-African,Non-African,-26.196,28.043,Schlebusch et al. 2013,10.1016/j.ajhg.2009.10.023,Lat/Long is Johannesburg
EUR,ZaEuropeanCS,European,15997-16569;57-607,South Africa,Southern Africa,Non-African,Non-African,-26.196,28.043,Schlebusch et al. 2013,10.1016/j.ajhg.2009.10.023,Lat/Long is Johannesburg
IND,ZaIndianCS,Indian,15997-16569;57-607,South Africa,Southern Africa,Non-African,Non-African,-26.196,28.043,Schlebusch et al. 2013,10.1016/j.ajhg.2009.10.023,Lat/Long is Johannesburg
