Selector,NewPrefix,GroupName,SeqRange,Country,Region,Language Family,Language,Latitude,Longitude,Reference,DOIorPMID,Notes
Yao,MzYaoAS,Yao,16090-16365,Mozambique,Eastern Africa,Niger-Congo,Bantu,-11.6388,37.70666,Salas et al. 2002,10.1086/344348,Lat/Long is approximate based on map in paper
Tonga,MzTongaAS,Tonga,16090-16365,Mozambique,Eastern Africa,Niger-Congo,Bantu,-23.31957,34.70739,Salas et al. 2002,10.1086/344348,Lat/Long is approximate based on map in paper
Shangaan,MzShangaanAS,Shangaan,16090-16365,Mozambique,Eastern Africa,Niger-Congo,Bantu,-22.43897,31.48839,Salas et al. 2002,10.1086/344348,Lat/Long is approximate based on map in paper
Chopi,MzChopiAS,Chopi,16090-16365,Mozambique,Eastern Africa,Niger-Congo,Bantu,-24.60459,33.86145,Salas et al. 2002,10.1086/344348,Lat/Long is approximate based on map in paper
Chwabo,MzChwaboAS,Chwabo,16090-16365,Mozambique,Eastern Africa,Niger-Congo,Bantu,-16.02207,38.06921,Salas et al. 2002,10.1086/344348,Lat/Long is approximate based on map in paper
Lomwe,MzLomweAS,Lomwe,16090-16365,Mozambique,Eastern Africa,Niger-Congo,Bantu,-16.58094,36.93762,Salas et al. 2002,10.1086/344348,Lat/Long is approximate based on map in paper
Makonde,MzMakondeAS,Makonde,16090-16365,Mozambique,Eastern Africa,Niger-Congo,Bantu,-11.59576,39.24475,Salas et al. 2002,10.1086/344348,Lat/Long is approximate based on map in paper
Makhuwa,MzMakhuwaAS,Makhuwa,16090-16365,Mozambique,Eastern Africa,Niger-Congo,Bantu,-14.22979,40.14563,Salas et al. 2002,10.1086/344348,Lat/Long is approximate based on map in paper
Ndau,MzNdauAS,Ndau,16090-16365,Mozambique,Eastern Africa,Niger-Congo,Bantu,-20.0224,34.55358,Salas et al. 2002,10.1086/344348,Lat/Long is approximate based on map in paper
Nguni,MzNguniAS,Nguni,16090-16365,Mozambique,Eastern Africa,Niger-Congo,Bantu,-14.83597,34.20202,Salas et al. 2002,10.1086/344348,Lat/Long is approximate based on map in paper
Nyungwe,MzNyungweAS,Nyungwe,16090-16365,Mozambique,Eastern Africa,Niger-Congo,Bantu,-17.77748,33.0924,Salas et al. 2002,10.1086/344348,Lat/Long is approximate based on map in paper
Nyanja,MzNyanjaAS,Nyanja,16090-16365,Mozambique,Eastern Africa,Niger-Congo,Bantu,-13.85677,36.81677,Salas et al. 2002,10.1086/344348,Lat/Long is approximate based on map in paper
Ronga,MzRongaAS,Ronga,16090-16365,Mozambique,Eastern Africa,Niger-Congo,Bantu,-25.2919,32.18054,Salas et al. 2002,10.1086/344348,"Lat/Long is approximate based on map in paper; column count in table 2 in paper is wrong - says 21, actual count from the table is 22"
Shona,MzShonaAS,Shona,16090-16365,Mozambique,Eastern Africa,Niger-Congo,Bantu,-19.58827,33.13635,Salas et al. 2002,10.1086/344348,"Lat/Long is approximate based on map in paper; column count in table 2 in paper is wrong - says 18, actual count from the table is 17"
Sena,MzSenaAS,Sena,16090-16365,Mozambique,Eastern Africa,Niger-Congo,Bantu,-18.4666,35.33361,Salas et al. 2002,10.1086/344348,Lat/Long is approximate based on map in paper
Tswa,MzTswaAS,Tswa,16090-16365,Mozambique,Eastern Africa,Niger-Congo,Bantu,-21.82837,34.87219,Salas et al. 2002,10.1086/344348,Lat/Long is approximate based on map in paper
