Selector,NewPrefix,GroupName,SeqRange,Country,Region,Language Family,Language Subgroup,Latitude,Longitude,Reference,DOIorPMID,Notes
TAL,CmTaliVC,Tali,16024-16383,Cameroon,Central Africa,Niger-Congo,North-Volta,5.579,9.672,Coia et al. 2005,10.1002/ajpa.20138,Lat/Long is approximate based on ethnologue maps
DAB,CmDabaVC,Daba,16024-16383,Cameroon,Central Africa,Afro-Asiatic,Chadic,10.032,13.884,Coia et al. 2005,10.1002/ajpa.20138,Lat/Long is approximate based on ethnologue maps
bam,CmBamilekeVC,Bamileke,16024-16383,Cameroon,Central Africa,Niger-Congo,South-Volta,5.206,10.713,Coia et al. 2005,10.1002/ajpa.20138,Lat/Long is approximate based on ethnologue maps
Ewo,CmEwondoVC,Ewondo,16024-16383,Cameroon,Central Africa,Niger-Congo,Bantu,4.555,11.787,Coia et al. 2005,10.1002/ajpa.20138,Lat/Long is approximate based on ethnologue maps
ULD,CmUldemeVC,Uldeme,16024-16383,Cameroon,Central Africa,Afro-Asiatic,Chadic,10.94,14.128,Coia et al. 2005,10.1002/ajpa.20138,Lat/Long is approximate based on ethnologue maps
TUP,CmTupuriVC,Tupuri,16024-16383,Cameroon,Central Africa,Niger-Congo,South-Volta,10.16,14.777,Coia et al. 2005,10.1002/ajpa.20138,Lat/Long is approximate based on ethnologue maps
MAN,CmMandaraVC,Mandara,16024-16383,Cameroon,Central Africa,Afro-Asiatic,Chadic,10.374,13.808,Coia et al. 2005,10.1002/ajpa.20138,Lat/Long is approximate based on ethnologue maps
FUL,CmFulbeVC,Fulbe,16024-16383,Cameroon,Central Africa,Niger-Congo,Atlantic,10.638,14.604,Coia et al. 2005,10.1002/ajpa.20138,Lat/Long is approximate based on ethnologue maps
FAL,CmFaliVC,Fali,16024-16383,Cameroon,Central Africa,Niger-Congo,Atlantic,9.645,13.861,Coia et al. 2005,10.1002/ajpa.20138,Lat/Long is approximate based on ethnologue maps
BAS,CmBassaVC,Bassa,16024-16383,Cameroon,Central Africa,Niger-Congo,Bantu,4.454,10.162,Coia et al. 2005,10.1002/ajpa.20138,Lat/Long is approximate based on ethnologue maps
E,CmBakakaVC,Bakaka,16024-16383,Cameroon,Central Africa,Niger-Congo,Bantu,4.97,9.935,Coia et al. 2005,10.1002/ajpa.20138,Lat/Long is approximate based on ethnologue maps
POD,CmPodokwoVC,Podokwo,16024-16383,Cameroon,Central Africa,Afro-Asiatic,Chadic,10.993,14.111,Coia et al. 2005,10.1002/ajpa.20138,Lat/Long is approximate based on ethnologue maps
