Selector,NewPrefix,GroupName,SeqRange,Country,Region,Language Family,Language,Latitude,Longitude,Reference,DOIorPMID,Notes
CA-BT,CmTikarKV,Tikar speakers,16023-16380,Cameroon,Central Africa,Niger-Congo,South-Volta,6.083,11.5,Veeramah et al. 2010,10.1186/1471-2148-10-92,
CA-FB,CmBamunKV,Bamun speakers,16023-16380,Cameroon,Central Africa,Niger-Congo,South-Volta,5.717,10.917,Veeramah et al. 2010,10.1186/1471-2148-10-92,
CA-WA,CmAghemKV,Aghem speakers,16023-16380,Cameroon,Central Africa,Niger-Congo,South-Volta,6.383,10.067,Veeramah et al. 2010,10.1186/1471-2148-10-92,
GH-AEW,GhAkan1KV,Akan speakers,16023-16380,Ghana,Western Africa,Niger-Congo,South-Volta,5.817,-2.817,Veeramah et al. 2010,10.1186/1471-2148-10-92,
GH-AKE,GhAkan2KV,Akan speakers,16023-16380,Ghana,Western Africa,Niger-Congo,South-Volta,6.167,-0.55,Veeramah et al. 2010,10.1186/1471-2148-10-92,
GH-ASWW,GhAkan3KV,Akan speakers,16023-16380,Ghana,Western Africa,Niger-Congo,South-Volta,6.333,-2.267,Veeramah et al. 2010,10.1186/1471-2148-10-92,
GH-EHVR,GhAkan4KV,Akan speakers,16023-16380,Ghana,Western Africa,Niger-Congo,South-Volta,5.817,-2.817,Veeramah et al. 2010,10.1186/1471-2148-10-92,
GH-FEWR,GhEweKV,Ewe speakers,16023-16380,Ghana,Western Africa,Niger-Congo,South-Volta,6.6,0.467,Veeramah et al. 2010,10.1186/1471-2148-10-92,
AN-AO,NgAnnang1KV,Annang speakers,16020-16400,Nigeria,Western Africa,Niger-Congo,South-Volta,5.05,7.717,Veeramah et al. 2010,10.1186/1471-2148-10-92,
AN-EA,NgAnnang2KV,Annang speakers,16020-16400,Nigeria,Western Africa,Niger-Congo,South-Volta,5.05,7.717,Veeramah et al. 2010,10.1186/1471-2148-10-92,
AN-IO,NgAnnang3KV,Annang speakers,16020-16400,Nigeria,Western Africa,Niger-Congo,South-Volta,4.992,7.758,Veeramah et al. 2010,10.1186/1471-2148-10-92,
EF-EE,NgEfik1KV,Efik speakers,16020-16400,Nigeria,Western Africa,Niger-Congo,South-Volta,5.167,7.983,Veeramah et al. 2010,10.1186/1471-2148-10-92,
EF-INE,NgEfik2KV,Efik speakers,16020-16400,Nigeria,Western Africa,Niger-Congo,South-Volta,4.908,8.442,Veeramah et al. 2010,10.1186/1471-2148-10-92,
EF-OEU,NgEfik3KV,Efik speakers,16020-16400,Nigeria,Western Africa,Niger-Congo,South-Volta,4.95,8.317,Veeramah et al. 2010,10.1186/1471-2148-10-92,
EK-CA,NgEjagham1KV,Ejagham speakers,16020-16400,Nigeria,Western Africa,Niger-Congo,South-Volta,4.95,8.317,Veeramah et al. 2010,10.1186/1471-2148-10-92,
EK-CC,NgEjagham2KV,Ejagham speakers,16020-16400,Nigeria,Western Africa,Niger-Congo,South-Volta,4.95,8.317,Veeramah et al. 2010,10.1186/1471-2148-10-92
EK-CI,NgEjagham3KV,Ejagham speakers,16020-16400,Nigeria,Western Africa,Niger-Congo,South-Volta,4.95,8.317,Veeramah et al. 2010,10.1186/1471-2148-10-92
EK-NA,NgEjagham4KV,Ejagham speakers,16020-16400,Nigeria,Western Africa,Niger-Congo,South-Volta,5.35,8.35,Veeramah et al. 2010,10.1186/1471-2148-10-92
IB-ANMWN,NgIbibio1KV,Ibibio speakers,16020-16400,Nigeria,Western Africa,Niger-Congo,South-Volta,4.833,7.9,Veeramah et al. 2010,10.1186/1471-2148-10-92
IB-EAEEUAE,NgIbibio2KV,Ibibio speakers,16020-16400,Nigeria,Western Africa,Niger-Congo,South-Volta,4.717,7.867,Veeramah et al. 2010,10.1186/1471-2148-10-92
IB-EUE,NgIbibio3KV,Ibibio speakers,16020-16400,Nigeria,Western Africa,Niger-Congo,South-Volta,4.62,7.65,Veeramah et al. 2010,10.1186/1471-2148-10-92
IB-IAAUA,NgIbibio4KV,Ibibio speakers,16020-16400,Nigeria,Western Africa,Niger-Congo,South-Volta,4.69,7.815,Veeramah et al. 2010,10.1186/1471-2148-10-92
IB-IEINOI,NgIbibio5KV,Ibibio speakers,16020-16400,Nigeria,Western Africa,Niger-Congo,South-Volta,5.133,7.933,Veeramah et al. 2010,10.1186/1471-2148-10-92
IB-IMIEI,NgIbibio6KV,Ibibio speakers,16020-16400,Nigeria,Western Africa,Niger-Congo,South-Volta,5.042,7.842,Veeramah et al. 2010,10.1186/1471-2148-10-92
IB-IOINO,NgIbibio7KV,Ibibio speakers,16020-16400,Nigeria,Western Africa,Niger-Congo,South-Volta,5.1,7.967,Veeramah et al. 2010,10.1186/1471-2148-10-92
IB-MNENN,NgIbibio8KV,Ibibio speakers,16020-16400,Nigeria,Western Africa,Niger-Congo,South-Volta,4.633,7.85,Veeramah et al. 2010,10.1186/1471-2148-10-92
IB-NEI,NgIbibio9KV,Ibibio speakers,16020-16400,Nigeria,Western Africa,Niger-Congo,South-Volta,4.783,7.883,Veeramah et al. 2010,10.1186/1471-2148-10-92
IB-OII,NgIbibio10KV,Ibibio speakers,16020-16400,Nigeria,Western Africa,Niger-Congo,South-Volta,5.133,7.967,Veeramah et al. 2010,10.1186/1471-2148-10-92
IB-ONMNI,NgIbibio11KV,Ibibio speakers,16020-16400,Nigeria,Western Africa,Niger-Congo,South-Volta,5.233,7.933,Veeramah et al. 2010,10.1186/1471-2148-10-92
IG-C,NgIgbo1KV,Igbo speakers,16020-16400,Nigeria,Western Africa,Niger-Congo,South-Volta,4.95,8.317,Veeramah et al. 2010,10.1186/1471-2148-10-92
