,Mal,Bob,Bab,Dog,Tua,Son,Peu,Sen,Sok
H1,0,0,1,0,0,0,0,0,0
H2,0,0,1,0,0,0,0,0,0
H3,0,0,0,0,0,1,0,0,0
H4,1,0,0,0,0,0,0,0,0
H5,0,0,1,0,0,0,0,0,0
H6,0,0,0,0,0,1,0,0,0
H7,0,0,1,0,0,0,0,0,0
H8,1,0,0,0,0,0,0,0,0
H9,0,0,0,0,0,0,1,0,0
H10,0,0,1,0,0,0,0,0,0
H11,0,0,1,0,0,0,0,0,0
H12,0,0,1,0,0,0,0,0,0
H13,0,0,1,0,0,0,0,0,0
H14,0,0,1,0,0,0,0,0,0
H15,0,0,1,0,0,0,0,0,0
H16,0,0,1,0,0,0,0,0,0
H17,0,0,1,0,0,0,0,0,0
H18,0,0,0,0,0,0,1,0,0
H19,0,0,0,0,0,0,1,0,1
H20,0,0,0,0,0,0,1,0,0
H21,1,0,0,0,0,0,0,0,0
H22,0,0,0,0,0,0,1,0,0
H23,1,0,0,0,0,0,0,0,0
H24,0,0,0,1,0,0,0,0,0
H25,1,0,0,0,0,0,0,0,0
H26,0,0,1,0,0,0,0,0,0
H27,0,0,1,0,0,0,0,0,0
H28,0,0,1,0,0,0,0,0,0
H29,0,0,1,0,0,0,0,0,0
H30,1,0,0,0,0,0,0,0,0
H31,0,0,1,0,0,0,0,0,0
H32,0,0,1,0,0,0,0,0,0
H33,1,0,1,0,0,0,0,0,0
H34,0,0,0,0,0,1,0,0,0
H35,0,0,1,0,0,0,0,0,0
H36,0,1,0,0,0,0,0,0,0
H37,0,0,0,0,0,0,1,0,0
H38,0,0,0,0,0,0,0,0,1
H39,0,0,0,0,0,0,0,0,1
H40,0,0,0,0,0,1,0,0,0
H41,0,0,1,0,0,0,0,0,0
H42,0,0,0,0,0,0,1,0,0
H43,0,0,1,0,0,0,0,0,0
H44,0,0,0,1,0,0,0,0,0
H45,1,0,0,0,0,0,0,0,0
H46,0,0,0,0,0,0,1,0,0
H47,0,0,1,0,0,0,0,0,0
H48,0,0,0,0,0,0,1,0,0
H49,0,0,1,0,0,0,0,0,0
H50,0,0,1,0,0,0,0,0,0
H51,1,0,0,0,0,0,0,0,0
H52,1,0,0,0,0,0,0,0,0
H53,0,0,1,0,0,0,0,0,0
H54,1,0,0,0,0,0,0,0,0
H55,0,0,0,0,0,0,0,0,0
H56,0,1,0,0,0,0,0,0,0
H57,0,0,0,0,0,0,1,0,0
H58,1,0,0,0,0,0,0,0,0
H59,0,0,0,0,0,0,0,0,0
H60,1,0,0,0,0,0,0,0,0
H61,0,0,1,0,0,0,0,0,0
H62,0,0,0,0,0,0,1,0,0
H63,0,0,0,0,1,0,0,0,0
H64,0,0,1,0,0,0,0,0,0
H65,1,0,0,0,0,0,0,0,0
H66,0,0,1,0,0,0,0,0,0
H67,0,0,1,0,0,0,0,0,0
H68,0,0,1,0,0,0,0,0,0
H69,0,0,1,0,0,0,0,0,0
H70,0,0,1,0,0,0,0,0,0
H71,0,0,1,0,0,0,0,0,0
H72,0,0,1,0,0,0,0,0,0
H73,1,0,0,0,0,0,0,0,0
H74,1,0,0,0,0,0,0,0,0
H75,0,0,0,0,0,0,1,0,0
H76,0,0,0,0,0,1,0,0,0
H77,1,0,0,0,0,0,0,0,0
H78,1,0,0,0,0,0,0,0,0
H79,0,0,1,0,0,0,0,0,0
H80,0,0,0,0,0,0,1,0,0
H81,1,0,0,0,0,0,0,0,0
H82,0,0,1,0,0,0,0,0,0
H83,0,0,1,0,0,0,0,0,0
H84,1,0,0,0,0,0,0,0,0
H85,0,1,0,0,0,0,0,0,0
H86,1,0,0,0,0,0,0,0,0
H87,0,0,1,0,0,0,0,0,0
H88,0,0,1,0,0,0,0,0,0
H89,0,0,1,0,0,0,0,0,0
H90,0,0,0,0,0,0,1,0,0
H91,0,0,1,0,0,0,0,0,0
H92,0,0,0,0,0,0,0,0,0
H93,0,0,1,0,0,0,0,0,0
H94,0,0,1,0,0,0,0,0,0
H95,1,0,0,0,0,0,0,0,0
H96,0,0,0,0,0,1,0,0,0
H97,0,0,1,0,0,0,0,0,0
H98,1,0,0,0,0,0,0,0,0
H99,0,0,0,1,0,0,0,0,0
H100,0,0,0,1,0,0,0,0,0
H101,0,0,0,0,0,0,0,0,0
H102,1,0,0,0,0,0,0,0,0
H103,0,0,0,0,0,0,1,0,0
H104,1,0,0,0,0,0,0,0,0
H105,1,0,0,0,0,0,0,0,0
H106,1,0,0,0,0,0,0,0,0
H107,0,0,1,0,0,0,0,0,0
H108,0,0,1,0,0,0,0,0,0
H109,0,0,0,1,0,0,0,0,0
H110,0,0,1,0,0,0,0,0,0
H111,0,1,0,0,0,0,0,0,0
H112,0,1,0,0,0,0,0,0,0
H113,0,0,1,0,0,0,0,0,0
H114,0,0,0,0,0,0,0,1,0
H115,1,0,0,0,0,0,0,0,0
H116,0,0,1,0,0,0,0,0,0
H117,1,0,0,0,0,0,0,0,0
H118,1,0,0,0,0,0,0,0,0
H119,1,0,0,0,0,0,0,0,0
H120,0,0,1,0,0,0,0,0,0
H121,0,0,0,1,0,0,0,0,0
H122,0,0,1,0,0,0,0,0,0
